age_days,variable,q05,q50,q95
28.0,phase_volume__CAH10,0.0,0.0,0.0
28.0,phase_volume__CO3_SO4_AFt,0.0,0.0,0.0
28.0,phase_volume__CSHQ,1.903697669516876e-05,2.2272372772178268e-05,2.1166770239952504e-05
28.0,phase_volume__Calcite,0.0,0.0,0.0
28.0,phase_volume__Friedels,0.0,0.0,0.0
28.0,phase_volume__Gypsum,0.0,0.0,0.0
28.0,phase_volume__Kuzels,0.0,0.0,0.0
28.0,phase_volume__MSH,0.0,0.0,0.0
28.0,phase_volume__MgAl-OH-LDH,3.9322045232824657e-07,1.3430162047639206e-06,1.4117386153522636e-06
28.0,phase_volume__Na-oxide,0.0,0.0,0.0
28.0,phase_volume__OH_SO4_AFm,4.824263503297167e-06,5.264188536543771e-06,0.0
28.0,phase_volume__Portlandite,0.0,0.0,0.0
28.0,phase_volume__SO4_CO3_AFt,0.0,0.0,0.0
28.0,phase_volume__SO4_OH_AFm,4.824263503297167e-06,5.264188536543771e-06,0.0
28.0,phase_volume__Silica-amorph,0.0,0.0,0.0
28.0,phase_volume__Sulphur,0.0,0.0,0.0
28.0,phase_volume__aq_gen,2.81788595194368e-05,2.426280043443433e-05,1.974260328520046e-05
28.0,phase_volume__arcanite,0.0,0.0,0.0
28.0,phase_volume__ettringite,0.0,0.0,6.404293508729076e-06
28.0,phase_volume__gas_gen,0.0,0.0,0.0
28.0,phase_volume__hemihydrate,0.0,0.0,0.0
28.0,phase_volume__straetlingite,0.0,4.007147853808689e-06,1.5003939211706946e-05
28.0,phase_volume__thenardite,0.0,0.0,0.0
28.0,scalar__Eh,0.4027202742049396,0.4028313709711895,0.4061664901356268
28.0,scalar__IS,0.2567897197862793,0.2664294174559175,0.24807275088638
28.0,scalar__P,100000.0,100000.0,100000.0
28.0,scalar__T,293.15,293.15,293.15
